"att1","loan_id","amount","duration","payments","min_amount","max_amount","avg_amount","min_balance","max_balance","avg_balance","credit","withdrawal","members","last_balance","gender","no. of inhabitants","no. of municipalities with inhabitants < 499 ","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants 2000-9999 ","no. of municipalities with inhabitants >10000 ","no. of cities ","ratio of urban inhabitants ","average salary ","unemploymant rate '95 ","unemploymant rate '96 ","no. of enterpreneurs per 1000 inhabitants ","no. of commited crimes '95 ","no. of commited crimes '96 ","Prague","central Bohemia","east Bohemia","north Bohemia","north Moravia","south Bohemia","south Moravia","west Bohemia","number_of_cards","owner_age","loan_year","loan_month","loan_day","confidence(false)","confidence(true)","prediction(status)"
182,5772,334620,60,5577,14.6,50196.0,15017.225714285712,1100.0,92028.2,64863.95428571427,17,18,2,49944.1,1,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,36,1998,3,8,0.16347939828573474,0.836520601714265,"true"
183,5527,156420,60,2607,1.4,45976.0,10600.503174603175,400.0,94694.7,49909.15555555556,25,38,1,22039.7,0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,41,1998,6,15,0.4724022538695674,0.5275977461304326,"true"
184,5169,253200,60,4220,14.6,46619.0,5916.702985074624,1000.0,96491.4,34086.208955223854,42,92,1,48603.2,0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,61,1998,9,24,0.25188933001939373,0.7481106699806058,"true"
185,5526,69624,36,1934,14.6,43520.0,5552.080689655171,1100.0,74473.4,49145.70758620692,41,104,1,49855.6,0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,1.0,51,1998,11,8,0.18078987555295403,0.8192101244470453,"true"
186,5931,66696,24,2779,14.6,56600.0,12559.06046511628,1100.0,115744.9,51945.21627906976,21,22,1,12551.9,1,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,0,1,0,0,0,0,0,0,0.0,30,1997,3,17,0.43767820588013034,0.5623217941198697,"true"
187,5731,460980,60,7683,14.6,49137.0,12750.846153846152,400.0,103750.1,45410.149999999994,13,13,1,19163.5,1,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,0,1,0,0,0,0,0,0,0.0,32,1997,11,5,0.44296576585947117,0.5570342341405294,"true"
188,5651,19248,12,1604,14.6,28093.5,7670.837499999998,200.0,60870.3,36065.975,29,43,2,43435.5,0,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,0,1,0,0,0,0,0,0,0.0,33,1997,12,8,0.1689876062322587,0.8310123937677413,"true"
189,5569,504000,60,8400,10.6,11500.0,4163.917741935483,200.0,39172.5,20942.594354838722,61,63,1,25977.1,0,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,0,1,0,0,0,0,0,0,0.0,26,1998,1,20,0.5284377148812104,0.4715622851187894,"false"
190,6402,139488,24,5812,30.0,52305.0,13016.101923076922,1100.0,95976.0,46755.30576923074,39,65,1,47956.3,0,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,0,1,0,0,0,0,0,0,0.0,29,1998,12,6,0.23212804069500387,0.7678719593049957,"true"
191,6753,67980,12,5665,32.4,26454.0,7479.0,400.0,55705.9,34806.92142857144,11,3,1,55705.9,1,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,0,0,0,0,0,0,1,0,0.0,50,1997,3,20,0.3010055703647378,0.6989944296352618,"true"
192,5585,88608,12,7384,15.3,55000.0,11850.011940298506,900.0,148386.3,51249.12985074622,62,72,2,28833.5,0,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,0,0,0,0,0,0,1,0,0.0,50,1998,7,8,0.18789631874705098,0.812103681252949,"true"
193,7046,91632,12,7636,7.3,9100.0,3045.662857142858,300.0,29167.6,17625.444285714297,34,36,2,14930.1,0,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,0,0,0,0,0,1,0,0,0.0,53,1997,3,28,0.2564722223679766,0.7435277776320229,"true"
194,6486,152160,60,2536,14.6,22821.0,5783.188429752064,500.0,56534.6,28077.73140495863,45,76,2,19986.6,1,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,0,0,0,0,0,1,0,0,0.0,49,1998,1,15,0.2418610528292975,0.7581389471707025,"true"
195,5893,86184,36,2394,30.0,27900.0,5841.5976190476185,300.0,48830.7,28459.645238095258,34,50,1,28804.1,0,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,0,0,0,0,0,1,0,0,0.0,29,1998,8,3,0.3474403899805519,0.6525596100194482,"true"
196,5868,90156,12,7513,14.6,67614.0,18359.004615384616,700.0,130981.4,77525.1169230769,26,39,2,78119.7,1,42821,4,13,5,1,3,48.4,8173,7.01,7.01,124,1358,1358,0,0,0,0,1,0,0,0,0.0,50,1997,3,29,0.1830330752356895,0.8169669247643099,"true"
197,5281,194256,24,8094,14.6,63100.0,12812.211940298512,400.0,134156.7,51370.48059701493,56,78,1,67742.6,0,42821,4,13,5,1,3,48.4,8173,7.01,7.01,124,1358,1358,0,0,0,0,1,0,0,0,0.0,29,1997,11,27,0.34743588137725456,0.6525641186227451,"true"
198,7100,348120,60,5802,14.6,60500.0,14812.91076923077,600.0,111159.5,58819.48769230769,26,39,1,53621.6,1,42821,4,13,5,1,3,48.4,8173,7.01,7.01,124,1358,1358,0,0,0,0,1,0,0,0,0.0,35,1997,12,31,0.22406419565596664,0.775935804344033,"true"
199,6866,122472,24,5103,14.0,68400.0,12554.058035714288,1000.0,106089.9,48395.94017857141,47,65,1,27731.4,1,42821,4,13,5,1,3,48.4,8173,7.01,7.01,124,1358,1358,0,0,0,0,1,0,0,0,0.0,37,1998,2,5,0.3212413976404132,0.6787586023595865,"true"
200,6436,495180,60,8253,14.6,74278.0,22957.867741935483,600.0,111650.4,44813.422580645165,14,17,1,34235.5,1,42821,4,13,5,1,3,48.4,8173,7.01,7.01,124,1358,1358,0,0,0,0,1,0,0,0,0.0,18,1998,5,22,0.3609239991035101,0.63907600089649,"true"
201,5784,84600,36,2350,14.6,46979.0,10482.165624999996,900.0,105258.8,41766.69374999999,14,18,1,16915.7,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,58,1997,3,29,0.5281630457640607,0.4718369542359392,"false"
202,5174,385104,48,8023,14.6,72206.0,17023.971568627458,1000.0,121006.5,47433.42058823531,34,68,1,51738.6,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,40,1997,6,13,0.33437144879625613,0.6656285512037438,"true"
203,6350,294384,48,6133,14.6,63900.0,14502.6007751938,1100.0,135487.1,61692.07751937979,54,75,1,47113.5,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,30,1997,7,9,0.2528711627546805,0.747128837245319,"true"
204,5063,357840,48,7455,600.0,9500.0,5050.0,600.0,10100.0,5350.0,2,0,1,10100.0,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,56,1997,7,10,0.7350014782240109,0.26499852177598865,"false"
205,6249,67608,24,2817,14.6,25356.0,9277.08695652174,200.0,54658.1,30181.317391304336,13,10,2,17205.7,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,34,1997,7,30,0.2930626680872512,0.7069373319127488,"true"
206,5808,41856,48,872,14.6,27216.0,5151.379611650484,800.0,56921.0,38559.26407766992,28,75,1,37069.1,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,36,1997,7,31,0.19631341982366804,0.8036865801763319,"true"
207,6984,116040,60,1934,14.6,16041.0,4050.984615384616,900.0,42494.9,29865.18974358974,17,22,2,32564.7,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,57,1997,8,15,0.2563055006420042,0.7436944993579956,"true"
208,6922,83628,36,2323,8.2,20904.0,6476.9882352941195,500.0,53379.4,29077.814705882356,17,17,1,31228.0,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,19,1997,8,26,0.49333776563898807,0.506662234361012,"true"
209,5367,83628,36,2323,8.2,20904.0,6458.950000000002,500.0,51781.0,29052.608823529416,17,17,1,31814.7,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,19,1997,8,26,0.4953720749506284,0.5046279250493716,"true"
210,6625,473280,60,7888,12.6,55900.0,9163.081395348836,500.0,109736.4,52777.34186046511,23,20,1,25746.5,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,30,1997,9,7,0.5977241465850419,0.40227585341495814,"false"
211,5963,204780,60,3413,14.6,49675.0,16351.478260869566,200.0,129449.6,48890.17826086957,14,9,1,89411.0,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,44,1997,9,7,0.29149780757834226,0.7085021924216578,"true"
212,6534,590820,60,9847,14.6,15914.0,4880.52252252252,300.0,45146.0,27937.97837837838,46,65,1,30859.3,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,30,1997,10,19,0.49697604390726097,0.5030239560927391,"true"
213,6730,93036,12,7753,14.6,69780.0,14395.11442307693,400.0,104865.3,53890.64326923077,45,59,1,57467.8,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,17,1998,2,15,0.26574732287733915,0.7342526771226606,"true"
214,6054,58764,12,4897,14.6,49991.0,9266.1,700.0,71290.0,32543.264705882353,21,13,2,55172.0,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,52,1998,7,16,0.2109943322253635,0.7890056677746365,"true"
215,7295,280440,60,4674,14.6,61000.0,8138.691509433959,1000.0,102466.2,38619.10283018872,47,59,1,31303.2,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,45,1998,7,18,0.29262179416164785,0.7073782058383518,"true"
216,5878,74040,12,6170,14.6,36486.0,5633.203684210524,600.0,73209.0,44234.82947368426,44,146,1,35310.2,1,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,0,0,0,0,1,0,0,0,0.0,41,1997,4,1,0.30955810146415497,0.6904418985358449,"true"
217,6655,260400,60,4340,14.6,51500.0,9845.946456692911,600.0,111670.7,37448.4047244094,43,84,1,21054.8,1,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,0,0,0,0,1,0,0,0,0.0,47,1997,10,17,0.4545736780986352,0.545426321901365,"true"
218,5956,168264,36,4674,14.6,42068.0,13602.675999999996,700.0,70585.8,40044.57600000001,13,12,1,27560.6,0,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,0,0,0,0,1,0,0,0,0.0,47,1997,11,4,0.48268102435369536,0.517318975646305,"true"
219,6926,374760,60,6246,14.6,56212.0,10749.780357142856,1000.0,102667.1,56102.474107142894,32,80,2,45924.3,0,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,0,0,0,0,1,0,0,0,0.0,46,1998,2,7,0.2252874818554674,0.7747125181445322,"true"
220,5140,178500,60,2975,11.6,10416.0,2712.9625,1000.0,39315.6,21491.79062500001,25,39,1,19397.6,1,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,0,0,0,0,1,0,0,0,0.0,26,1998,2,24,0.4563091640729031,0.5436908359270972,"true"
221,5520,231168,48,4816,14.6,67348.0,13155.383333333335,300.0,122436.6,54598.838888888844,40,104,1,45405.1,1,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,0,0,0,0,1,0,0,0,1.0,20,1998,8,30,0.24634679512865656,0.7536532048713431,"true"
222,5110,102240,60,1704,14.6,14400.0,3746.1555555555547,900.0,43627.3,29946.995238095213,53,73,2,34768.4,1,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,0,0,0,0,0,0,1,0,0.0,51,1997,4,1,0.22001851493106658,0.7799814850689334,"true"
223,5681,68664,24,2861,10.2,48806.0,7446.938356164384,700.0,72649.2,36855.823287671235,30,43,2,36642.4,1,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,0,0,0,0,0,0,1,0,0.0,17,1997,10,20,0.2274735125741548,0.7725264874258446,"true"
224,5698,174840,60,2914,10.2,26224.0,5778.616091954022,1100.0,64669.5,34822.46896551725,31,56,1,27706.0,1,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,0,0,0,0,0,0,1,0,0.0,47,1998,9,22,0.29986439588967356,0.7001356041103263,"true"
225,5210,148140,36,4115,25.8,37032.0,8874.036440677968,1000.0,78468.6,40688.34830508475,42,76,1,26222.2,1,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,0.0,35,1997,4,1,0.3611394959890896,0.6388605040109104,"true"
226,6059,79824,12,6652,13.5,55100.0,14454.187096774192,300.0,121592.6,49309.009677419344,14,17,1,38069.7,0,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,0.0,40,1997,12,28,0.291502976216968,0.7084970237830319,"true"
227,6569,45456,12,3788,14.6,34095.0,8875.53214285714,1000.0,80996.4,39247.38750000002,23,33,1,57100.5,1,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,0.0,51,1998,5,28,0.2416564689353931,0.758343531064606,"true"
228,5428,230220,36,6395,5.4,58400.0,15620.818300653598,200.0,141146.2,64923.16274509803,64,89,1,47456.9,0,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,1.0,48,1998,12,2,0.29650137025332873,0.7034986297466712,"true"
229,7230,18720,60,312,11.6,19137.0,4589.166666666667,300.0,58660.4,40748.34523809524,18,24,2,44308.1,0,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,0,0,0,0,0,0,0,1,0.0,36,1997,4,2,0.18082141205832764,0.8191785879416721,"true"
230,7221,152460,60,2541,30.0,22868.0,4535.116101694915,600.0,52438.0,20874.116101694926,36,82,1,9641.6,1,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,0,0,0,0,0,0,0,1,0.0,46,1998,6,11,0.47004332244639985,0.5299566775536003,"true"
231,5005,27456,12,2288,30.0,61900.0,11800.30666666667,800.0,111282.3,48780.09599999996,27,48,1,36280.9,0,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,0,0,0,0,1,0,0,0,0.0,29,1997,4,10,0.26981532895731836,0.7301846710426813,"true"
232,6464,49488,24,2062,14.6,30969.0,9749.86875,300.0,79862.9,50541.553125000006,18,14,1,59456.1,1,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,0,0,0,0,1,0,0,0,1.0,56,1998,4,16,0.2534243286112492,0.74657567138875,"true"
233,5034,112752,36,3132,14.6,35360.0,5585.4356589147255,900.0,68401.9,44659.64961240314,47,82,1,48916.6,1,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,0,0,0,0,1,0,0,0,0.0,42,1998,5,30,0.2820512907908722,0.7179487092091271,"true"
234,5304,172272,24,7178,14.6,65892.0,17945.659999999996,300.0,126478.3,61146.52363636366,22,33,1,72563.9,0,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,0,0,0,0,1,0,0,0,0.0,55,1998,8,20,0.2133409795965808,0.7866590204034185,"true"
235,6871,164256,48,3422,1.4,49398.0,8080.237755102036,600.0,116637.5,42341.63775510207,47,51,2,23421.1,0,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,24,1997,4,13,0.2587469978660548,0.7412530021339452,"true"
236,6956,59448,24,2477,14.6,24204.0,5879.703225806448,200.0,67122.1,29114.62258064514,41,52,1,33869.8,0,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,39,1997,11,9,0.30165009873024135,0.6983499012697587,"true"
237,6495,49044,12,4087,14.6,44748.0,16456.872727272723,400.0,105561.0,49296.52272727273,11,11,1,25180.7,1,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,44,1998,3,12,0.3037797199451743,0.6962202800548256,"true"
238,5363,293880,60,4898,7.0,47725.0,11288.745555555555,-2804.8,132818.3,53227.14444444442,39,51,1,-204.8,1,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,22,1997,4,22,0.7029280499391303,0.29707195006086995,"false"
239,5634,39024,12,3252,14.6,58400.0,10322.529411764708,300.0,134678.1,60289.95441176464,47,89,1,35422.1,0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,60,1997,5,1,0.2645218208338891,0.7354781791661104,"true"
240,5850,164196,36,4561,2.6,63500.0,12583.212244897959,500.0,119068.0,49558.6857142857,28,21,1,82971.3,1,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,40,1997,5,22,0.2483933476035668,0.7516066523964332,"true"
241,6857,69600,48,1450,14.6,24328.5,3603.0944954128427,700.0,71208.5,40349.88486238533,74,144,2,71208.5,0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,29,1998,6,8,0.17295087117241728,0.8270491288275822,"true"
242,7035,210744,36,5854,14.6,52688.0,15475.120512820511,200.0,87392.9,51175.19230769233,16,23,1,31772.1,0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,19,1998,7,29,0.2586278938175414,0.7413721061824585,"true"
243,7253,98304,12,8192,14.6,73724.0,16857.623008849565,300.0,125191.7,66405.07079646019,41,72,1,44345.5,0,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,0,0,0,0,0,1,0,0,0.0,26,1997,4,26,0.21718681661500788,0.7828131833849917,"true"
244,6544,130464,48,2718,14.6,48126.0,8183.317277486914,1000.0,132087.5,53546.70890052362,52,139,1,32928.2,0,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,0,0,0,0,0,1,0,0,0.0,23,1997,12,11,0.22113500427493124,0.7788649957250683,"true"
245,7202,140688,48,2931,14.6,48538.0,11268.504705882351,300.0,140245.8,54575.39882352938,36,49,2,24699.7,0,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,0,0,0,0,0,1,0,0,0.0,56,1998,5,29,0.2774640810395009,0.7225359189604991,"true"
246,5683,140688,48,2931,14.6,48538.0,11244.55058823529,300.0,144580.4,57514.34705882354,36,49,2,26863.5,0,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,0,0,0,0,0,1,0,0,0.0,56,1998,5,29,0.2663839327214058,0.7336160672785939,"true"
247,7167,269964,36,7499,14.6,67488.0,14799.282666666662,400.0,120646.8,61366.8693333333,24,51,1,66463.8,1,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,0,0,0,0,0,1,0,0,1.0,19,1998,6,18,0.2422329176151657,0.7577670823848341,"true"
248,6055,399120,60,6652,14.6,36305.0,8508.544999999996,300.0,85656.2,42435.31166666666,28,32,1,18581.6,1,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,0,0,0,0,1,0,0,0,0.0,54,1997,4,28,0.4905791441409661,0.509420855859034,"true"
249,7199,45768,12,3814,14.6,57600.0,11189.415753424662,900.0,150977.5,59138.44178082188,47,99,2,76389.2,0,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,0,0,0,0,1,0,0,0,0.0,53,1997,12,9,0.2027567528809882,0.7972432471190114,"true"
250,5758,307200,60,5120,3.7,61400.0,12548.313235294114,200.0,142668.1,44484.07500000004,28,40,1,10043.6,0,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,0,0,0,0,0,0,1,0,0.0,35,1997,5,2,0.48482992806806446,0.5151700719319358,"true"
251,5718,14028,12,1169,13.1,23964.0,4757.734615384614,400.0,75383.2,51802.01923076925,48,108,1,51785.0,1,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,0,0,0,0,0,0,1,0,0.0,51,1997,9,1,0.20428471957201222,0.7957152804279876,"true"
252,5229,23520,12,1960,14.6,17642.0,4386.0603174603175,500.0,44667.0,25967.495238095227,24,39,2,19087.2,0,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,0,0,0,0,0,0,1,0,0.0,55,1997,9,6,0.26438076520576,0.73561923479424,"true"
253,5236,389136,48,8107,14.6,72966.0,19229.26290322581,700.0,126403.5,59749.88387096772,24,38,1,78769.8,0,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,0,0,0,0,0,0,1,0,0.0,30,1997,9,15,0.24538000664005635,0.7546199933599435,"true"
254,5360,176328,36,4898,14.6,44084.0,7444.476023391812,400.0,87431.8,47164.918713450286,41,130,2,36423.3,0,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,0,0,0,0,0,0,1,0,0.0,54,1998,1,25,0.18087787478172543,0.8191221252182738,"true"
255,6755,170700,60,2845,14.6,25605.0,6021.05824175824,400.0,56839.2,28620.397802197815,47,44,1,27372.9,0,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,0,0,0,0,0,0,1,0,0.0,26,1998,7,24,0.4385167535482574,0.5614832464517431,"true"
256,6819,50112,24,2088,9.3,46534.0,10238.55625,900.0,102693.8,46214.12500000001,14,2,1,68352.1,0,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,0,0,1,0,0,0,0,0,0.0,49,1997,5,3,0.29284412644162233,0.7071558735583772,"true"
257,5041,369000,60,6150,30.0,47415.0,6055.033333333332,700.0,110827.3,48648.40116959062,49,122,1,59544.8,1,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,0,0,1,0,0,0,0,0,0.0,23,1997,7,11,0.20339518258213085,0.7966048174178689,"true"
258,6104,158184,36,4394,14.6,52400.0,8228.602105263153,400.0,103426.7,47679.973684210534,38,57,1,28819.1,0,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,0,0,1,0,0,0,0,0,0.0,44,1997,9,5,0.31026543432254805,0.6897345656774516,"true"
259,6643,35856,24,1494,14.6,33024.0,7941.095789473681,600.0,81244.2,55660.655789473734,35,60,1,77333.8,1,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,0,0,1,0,0,0,0,0,0.0,30,1998,1,18,0.19264863328486218,0.807351366715137,"true"
260,6083,240528,48,5011,14.6,45100.0,12941.090109890107,600.0,86334.9,41135.01098901101,37,54,1,10421.7,0,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,0,0,1,0,0,0,0,0,0.0,41,1998,3,31,0.5891352683247786,0.4108647316752215,"false"
261,5293,189792,48,3954,14.6,35589.0,8240.795312499999,500.0,78411.8,34760.22890625003,47,81,1,37600.4,0,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,0,0,1,0,0,0,0,0,0.0,58,1998,10,29,0.3231097761885198,0.6768902238114796,"true"
262,7088,239160,60,3986,14.6,35871.0,6547.782075471694,500.0,77714.9,37233.143396226464,30,76,1,28610.8,0,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,0,0,0,0,0,0,0,1,0.0,50,1997,5,3,0.25286544052092286,0.7471345594790768,"true"
263,7001,300600,60,5010,14.6,45094.0,8434.018947368419,400.0,104169.8,53217.72947368419,28,67,1,73926.0,1,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,0,0,0,0,0,0,0,1,1.0,33,1997,8,10,0.23440590410619186,0.7655940958938076,"true"
264,5779,107352,36,2982,22.2,48282.0,12020.685714285713,600.0,151251.4,57995.11904761904,45,39,1,61126.0,1,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,0,0,0,0,0,0,0,1,0.0,57,1997,10,14,0.3464289317388876,0.6535710682611119,"true"
265,6607,153144,36,4254,14.6,53000.0,12272.340350877199,300.0,133011.5,58553.677192982424,57,114,1,57715.7,0,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,0,0,0,0,0,0,0,1,1.0,28,1997,10,21,0.22950936101990257,0.7704906389800966,"true"
266,5103,12540,12,1045,14.6,21987.0,4203.093421052629,200.0,57779.4,41922.04671052632,45,107,2,54562.2,1,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,0,0,0,0,0,0,0,1,1.0,57,1997,11,28,0.20595432123332288,0.794045678766677,"true"
267,6215,78720,48,1640,14.6,32116.0,7910.054929577464,1000.0,66220.2,45921.19859154932,26,45,1,66220.2,1,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,0,0,0,0,0,0,0,1,0.0,54,1998,6,18,0.20098245968833875,0.799017540311661,"true"
268,7096,37812,12,3151,14.6,54100.0,14400.969230769235,900.0,126763.3,54062.079230769195,50,80,1,67407.8,1,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,0,0,0,0,0,0,0,1,0.0,33,1998,9,2,0.18414394961666095,0.8158560503833385,"true"
269,5039,66840,24,2785,21.5,59900.0,12542.66489361702,700.0,109016.3,38819.32021276595,34,60,2,22674.3,1,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,0,0,0,0,0,1,0,0,0.0,57,1997,5,3,0.3246456511996889,0.6753543488003106,"true"
270,6136,140880,60,2348,14.6,49763.0,10815.49302325581,800.0,122247.8,45160.51162790696,18,25,1,13759.2,0,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,0,0,0,0,0,1,0,0,0.0,40,1998,4,19,0.48638133532356603,0.513618664676434,"true"
271,6078,170832,48,3559,14.6,67833.0,15992.552307692302,700.0,121425.0,65037.929230769194,23,42,1,52125.4,0,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,0,0,0,0,0,1,0,0,0.0,28,1998,9,9,0.21055333850692448,0.7894466614930751,"true"
272,6037,53232,48,1109,14.6,15360.0,2734.4739999999993,1100.0,49865.1,30896.00266666667,50,100,1,35612.5,0,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,0,0,0,0,1,0,0,0,0.0,32,1997,5,4,0.24123618272086186,0.7587638172791381,"true"
273,6113,78696,36,2186,14.6,19674.0,4217.717073170732,1000.0,56765.7,40292.34146341463,16,25,1,36292.9,1,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,0,0,0,0,1,0,0,0,0.0,26,1997,10,1,0.33262767821926037,0.6673723217807397,"true"
